,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
12324801,nm9802179,Robbie Lee Coyle,NULL,NULL,10,"tt10229478,tt6933124"
12324802,nm9802180,Lew Shomer,NULL,NULL,4,"tt6933124,tt2980090"
12324803,nm9802181,David Korse,NULL,NULL,4,tt6933124
12343046,nm9823439,Edwin Borja,NULL,NULL,1,"tt8192212,tt21028132,tt8385300"
12343346,nm9823774,Joseph Maligno,NULL,NULL,1,tt8385300
12346469,nm9827298,Garry James Borland,NULL,NULL,1,"tt7436642,tt15180114"
12356289,nm9838648,Alex Brown,NULL,NULL,14,"tt9010920,tt11771820,tt8416486,tt6879348"
12387493,nm9875082,Nikolay Mandrich,NULL,NULL,10,"tt26594430,tt8489078,tt15754504,tt25786348"
12403296,nm9893531,Dajo Vande Putte,NULL,NULL,29,"tt20193284,tt7718636,tt20195530"
12425288,nm9918841,Ana Caetano,NULL,NULL,2,"tt8583378,tt8151842,tt15660276"
12483159,nm9986733,Leonardo José,NULL,NULL,1,"tt10839702,tt10126500,tt8151842"
12486254,nm9990115,Claudia Daher,NULL,NULL,3,"tt0815064,tt2271286,tt0316977,tt8151842"
